hour_ts,airline,tweet_volume,neg_volume,avg_retweets,avg_conf,hashtag_rate,mention_rate,neg_rate,tweet_volume_roll_mean,tweet_volume_roll_std,tweet_volume_z,neg_rate_roll_mean,neg_rate_roll_std,neg_rate_z,avg_retweets_roll_mean,avg_retweets_roll_std,avg_retweets_z,hashtag_rate_roll_mean,hashtag_rate_roll_std,hashtag_rate_z,neg_rate_diff
2015-02-19 04:00:00+00:00,American,1.0,1.0,0.0,0.924,0.0,1.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0
2015-02-19 05:00:00+00:00,American,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,-1.0
2015-02-19 06:00:00+00:00,American,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0
2015-02-19 07:00:00+00:00,American,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0
2015-02-19 08:00:00+00:00,American,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0
2015-02-19 09:00:00+00:00,American,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.408248290463863,-0.408248290463863,0.16666666666666666,0.408248290463863,-0.408248290463863,0.0,,0.0,0.0,,0.0,0.0
2015-02-19 10:00:00+00:00,American,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.37796447300922725,-0.3779644730092272,0.14285714285714285,0.37796447300922725,-0.3779644730092272,0.0,,0.0,0.0,,0.0,0.0
2015-02-19 11:00:00+00:00,American,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738,-0.35355339059327373,0.125,0.3535533905932738,-0.35355339059327373,0.0,,0.0,0.0,,0.0,0.0
2015-02-19 12:00:00+00:00,American,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.33333333333333337,-0.33333333333333326,0.1111111111111111,0.33333333333333337,-0.33333333333333326,0.0,,0.0,0.0,,0.0,0.0
2015-02-19 13:00:00+00:00,American,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.31622776601683794,-0.31622776601683794,0.1,0.31622776601683794,-0.31622776601683794,0.0,,0.0,0.0,,0.0,0.0
2015-02-19 14:00:00+00:00,American,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.30151134457776363,-0.30151134457776363,0.09090909090909091,0.30151134457776363,-0.30151134457776363,0.0,,0.0,0.0,,0.0,0.0
2015-02-19 15:00:00+00:00,American,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.2886751345948129,-0.2886751345948128,0.08333333333333333,0.2886751345948129,-0.2886751345948128,0.0,,0.0,0.0,,0.0,0.0
